FieldName,Data Type,Type,Description,Allowed Values,Example
_event_date,date,mandatory,The date of the original event,,2022-11-28
_event_time,timestamp,mandatory,The timestamp of the original event,,
_source,string,mandatory,The source of the data ingested,,"aws, checkpoint"
_sourcetype,string,mandatory,The sourcetype of data ingested,,"cloud_trail, opsec_lea"
acting_app_id,string,optional,The unique is associated with acting_app_name,,
acting_app_name,string,optional,The name of the application used to perform the activity,,c:\Windows\system32\svchost.exe
acting_app_type,string,optional,enumerated from the record information,"Process, Browser, Resource, Other",
actor_user_id,string,optional,The unique id of actor_user_name,,"SID (Windows): S-1-5-21-1377283216-344919071-3415362939-500
UID (Linux): 4578
AADID (Azure Active Directory): 9267d02c-5f76-40a9-a9eb-b686f3ca47aa
OktaId: 00urjk4znu3BcncfY0h7
AWSId: 72643944673"
actor_user_name,string,recommended,The actor username including domain where available,,
actor_user_type,string,optional,The user type of actor_user_name,"Regular, Machine, Admin, System, Application, Service Principal, Other",
dvc_hostname,string,mandatory,The device sending the data,,dc01
event_message,string,recommended,Details of the event either from the record or generated,,
event_result,string,recommended,The result of the event reported. Normalised to one of the examples,"Success, Failure",
event_schema_file,string,optional,The version of CIM model used to create this dataset. Literal string assigned by the data engineer,,service_v0.1.1
event_severity,string,recommended,"The severity of the event, normalized to one of example","Informational, Low, Medium, High",
event_type,string,recommended,The operation reported. For DNS this is the dns_query_type,"UserCreated, UserDeleted, UserModified, UserLocked,UserUnlocked,UserDisabled,UserEnabled,PasswordChanged,PasswordReset,GroupCreated,GroupDeleted,GroupModified,UserAddedToGroup,UserRemovedFromGroup,GroupEnumerated,UserRead,GroupRead",
group_id,string,optional,The unique group id associated with group_name,,"SID (Windows): S-1-5-21-1377283216-344919071-3415362939-500
UID (Linux): 4578"
group_name,string,optional,The group name including domain when available,,"Upn/Email: grp@contoso.com
Windows: Contoso\grp
DN: CN=grp,OU=Sales,DC=Fabrikam,DC=COM
Simple: grp"
src,string,recommended,"alias from src_hostname, or src_ip_addr",,
src_domain,string,recommended,The domain name of the src_hostname,,contoso
src_geo_city,string,optional,City,,London
src_geo_country,string,optional,Country,,United Kingdom
src_geo_lat,string,optional,Latitude,,53.143514
src_geo_lon,string,optional,Longitude,,-0.694232
src_geo_region,string,optional,Region,,England
src_hostname,string,recommended,The hostname of the source device without the domain,,DC01
src_ip_addr,string,optional,the ip address of the reporting hostname,,
target_original_user_type,string,optional,The original destination user type,"Regular, Machine, Admin, System, Application, Service Principal, Other",
target_user_id,string,optional,the unique is associated with target_user_name,,
target_user_name,string,recommended,the target user name including the domain name if available,,contoso\mallory
target_user_type,string,optional,The type of target_user,"Regular, Machine, Admin, System, Application, Service Principal, Other",
user,string,recommended,alias from actor_user_name,,
parent_process_hash_sha256,string,optional,The SHA256 hash of the parent process image file,,
parent_process_id,bigint,optional,The process id of the parent process,,34534
parent_process_name,string,optional,The name including file path of the parent process,,C:\Windows\explorer.exe
process,string,recommended,alias from target_process_name,,
src,string,recommended,alias from src_hostname,,
src_hostname,string,recommended,The hostname of the device executing process,,
target_process_command_line,string,optional,The command line of the target process,,
target_process_guid,string,optional,The globally unique id of the target process,,
target_process_hash_md5,string,optional,The MD5 hash of the target process image file,,
target_process_hash_sha256,string,optional,The SHA256 hash of the target process image file,,
target_process_id,bigint,optional,The process id of the target process,,
target_process_name,string,optional,The name of the target process,,c:\Windows\explorer.exe
target_user_id,string,optional,The unique id for for the target_user_name,,S-1-12
target_user_name,string,optional,The target username including domain if available,,contoso\mallory
target_user_type,string,optional,"The type of username in target_user_name. UPN is either UPN or email, Windows = contoso\mallory, DN=LDAP format, Simple=mallorypark, AWSId=56765654368","UPN, Windows, DN,Simple, AWSId",
src_geo_region,string,optional,Region,,England
src_hostname,string,recommended,The source device name,,MALLORY-PC
src_interface_guid,string,optional,The GUID of the network interface used on the device,,46ad544b-eaf0-47ef-827c-266030f545a6
src_interface_name,string,optional,The network interface used for the connection by the source device,,eth01
src_ip_addr,string,optional,The source IP address,,10.10.10.10
src_mac_address,string,optional,The MAC address of the network interface used for the connection or session by the source device.,,06:10:9f:eb:8f:14
src_packets,long,optional,number of packets sent from source to destination,,
src_vlan_id,string,optional,The VLAN id related to the source device,,110
total_packets,long,optional,total packets sent between source and destination,,
